"","X","name","date_time","price","brand","model","year","title_status","mileage","color","vin","lot","state","country","condition","month","part_of_day","state_name","state_code","first_name","condition_in_hours","mileage_group"
"385",384,"McDonald, Tom","05-24-2019 14:40:00",10630,"ford","door",2015,"clean vehicle",82899,"white","  1ftew1eg0ffb32472",167660608,"georgia"," usa","2 days left","May","Aftrenoon","georgia","GA","Tom","48 hours left","Group 2"
"386",385,"Raboin, Chase","06-23-2020 22:40:00",43009,"ford","door",2017,"clean vehicle",76418,"white","  1ft7w2bt3heb19966",167765426,"michigan"," usa","2 days left","June","Night","michigan","MI","Chase","48 hours left","Group 2"
"387",386,"Badura, Shannon","04-12-2020 21:30:00",25,"gmc","door",2003,"salvage insurance",138441,"white","  1gkdt13s332100344",167362657,"michigan"," usa","2 days left","April","Evening","michigan","MI","Shannon","48 hours left","Group 3"
"388",387,"Cousineau, Tom","09-13-2019 11:40:00",4600,"ford","pickup",2006,"salvage insurance",240740,"brown","  1ftpw14v66fa82105",167611554,"mississippi"," usa","8 days left","September","Morning","mississippi","MS","Tom","192 hours left","Group 5"
"389",388,"Mrs Karas, Phil","03-05-2019 21:00:00",4950,"honda","mpv",2016,"clean vehicle",71404,"black","  2hkrm3h45gh513861",167703381,"virginia"," usa","17 hours left","March","Evening","virginia","VA","Phil","17 hours left","Group 2"
"390",389,"Mr Reimer, Dick","08-17-2020 14:50:00",3760,"hyundai","doors",2019,"clean vehicle",30382,"silver","  5npd84lf6kh456317",167698685,"florida"," usa","22 hours left","August","Aftrenoon","florida","FL","Dick","22 hours left","Group 1"
"391",390,"Raboin, Chase","05-07-2020 10:00:00",3900,"acura","door",2009,"clean vehicle",179389,"black","  19uua96529a004646",167389316,"texas"," usa","2 hours left","May","Morning","texas","TX","Chase","2 hours left","Group 4"
"392",391,"Gutzman, Todd","06-24-2020 12:50:00",0,"cadillac","coupe",2000,"salvage insurance",105169,"white","  1g6el12y9yu148063",167651218,"virginia"," usa","9 days left","June","Aftrenoon","virginia","VA","Todd","216 hours left","Group 3"
"393",392,"Hendricks, Dan","03-18-2021 20:20:00",3830,"ford","door",2015,"clean vehicle",82534,"silver","  3fa6p0hdxfr258523",167660609,"georgia"," usa","2 days left","March","Evening","georgia","GA","Dan","48 hours left","Group 2"
"394",393,"Ms Schoen, Lisa","02-25-2021 11:40:00",53500,"ford","door",2017,"clean vehicle",55732,"white","  1ft8w4dtxhed96692",167765452,"michigan"," usa","20 hours left","February","Morning","michigan","MI","Lisa","20 hours left","Group 2"
"395",394,"Holewinski, Gene","06-25-2020 16:20:00",25,"ford","door",2010,"salvage insurance",198596,"gray","  1fmeu7de5aua53694",167362668,"michigan"," usa","2 days left","June","Aftrenoon","michigan","MI","Gene","48 hours left","Group 4"
"396",395,"McDonald, Tom","01-31-2020 13:00:00",25,"ford","door",1998,"salvage insurance",300021,"brown","  1ftzx0766wka18481",167611660,"arkansas"," usa","17 hours left","January","Aftrenoon","arkansas","AR","Tom","17 hours left","Group 6"
"397",396,"Ms BenDixen, Lonnie","10-20-2020 20:00:00",6240,"honda","door",2015,"clean vehicle",83623,"silver","  5fnyf4h26fb052452",167703518,"virginia"," usa","2 days left","October","Evening","virginia","VA","Lonnie","48 hours left","Group 2"
"398",397,"Pascoe, Paul","06-28-2019 12:10:00",4150,"jeep","door",2014,"clean vehicle",108895,"white","  1c4njrfb0ed707552",167698715,"new york"," usa","2 days left","June","Aftrenoon","new york","NY","Paul","48 hours left","Group 3"
"399",398,"Kline, Kent","06-23-2019 10:10:00",25,"jeep","door",1999,"salvage insurance",226972,"black","  1j4gw58s4xc558310",167246338,"florida"," usa","16 hours left","June","Morning","florida","FL","Kent","16 hours left","Group 5"
"400",399,"Kawula, Amy","01-08-2019 20:10:00",61200,"bmw","series",2020,"clean vehicle",7509,"black","  wba7t2c04lgl17687",167417053,"california"," usa","7 days left","January","Evening","california","CA","Amy","168 hours left","Group 1"
"401",400,"Utech, Carol","08-16-2019 18:40:00",0,"buick","door",2006,"salvage insurance",137464,"blue","  2g4wc582961163677",167651221,"virginia"," usa","9 days left","August","Evening","virginia","VA","Carol","216 hours left","Group 3"
"402",401,"Francour, Lisa","03-27-2020 21:30:00",13500,"bmw","series",2014,"clean vehicle",33542,"blue","  wba3d5c51ekx97650",167782815,"new jersey"," usa","2 days left","March","Evening","new jersey","NJ","Lisa","48 hours left","Group 1"
"403",402,"Mr Frank, Tim","09-27-2020 11:50:00",6490,"ford","door",2015,"clean vehicle",74754,"black","  1fm5k7d88fga24308",167660611,"georgia"," usa","2 days left","September","Morning","georgia","GA","Tim","48 hours left","Group 2"
"404",403,"Gustafson, Bob","12-10-2020 10:20:00",51502,"ford","door",2017,"clean vehicle",27661,"black","  1ft8w3dt8hec12120",167765457,"michigan"," usa","2 days left","December","Morning","michigan","MI","Bob","48 hours left","Group 1"
"405",404,"Mrs Karas, Phil","05-16-2020 19:30:00",250,"ford","door",2010,"salvage insurance",115241,"white","  3fahp0ha6ar187697",167362678,"michigan"," usa","2 days left","May","Evening","michigan","MI","Phil","48 hours left","Group 3"
"406",405,"Gutzman, Todd","04-03-2020 10:30:00",25,"ford","door",1984,"salvage insurance",41577,"white","  2ftcf15y9eca14589",167611661,"arkansas"," usa","17 hours left","April","Morning","arkansas","AR","Todd","17 hours left","Group 1"
"407",406,"Jacobson, Jeff","04-22-2021 20:40:00",8160,"honda","van",2015,"clean vehicle",109027,"gray","  5fnrl5h96fb012419",167703523,"virginia"," usa","2 days left","April","Evening","virginia","VA","Jeff","48 hours left","Group 3"
"408",407,"Mr Reimer, Dick","06-16-2019 12:30:00",7770,"jeep","door",2014,"clean vehicle",72732,"gray","  1c4rjfbg4ec441069",167698716,"new york"," usa","2 days left","June","Aftrenoon","new york","NY","Dick","48 hours left","Group 2"
"409",408,"VanDenHoven, Bob","08-20-2020 21:50:00",200,"jeep","door",2001,"salvage insurance",126400,"green","  1j4ft48s01l590080",167247039,"maryland"," usa","16 hours left","August","Evening","maryland","MD","Bob","16 hours left","Group 3"
"410",409,"Mrs Karas, Phil","02-23-2021 16:20:00",25,"audi","door",2008,"salvage insurance",177422,"black","  wa1by74l38d010163",167417202,"texas"," usa","17 hours left","February","Aftrenoon","texas","TX","Phil","17 hours left","Group 4"
"411",410,"Halla, Al","08-05-2019 15:00:00",0,"chevrolet","door",1995,"salvage insurance",274706,"green","  2gcec19h8s1195266",167425634,"arizona"," usa","2 days left","August","Aftrenoon","arizona","AZ","Al","48 hours left","Group 6"
"412",411,"Miss Knedle, Katherine","05-01-2020 18:20:00",1825,"bmw","coupe",2008,"salvage insurance",77984,"white","  wbawb33548p132854",167651338,"georgia"," usa","2 days left","May","Evening","georgia","GA","Katherine","48 hours left","Group 2"
"413",412,"Hendricks, Dan","06-20-2020 21:50:00",39800,"bmw","series",2017,"clean vehicle",23177,"blue","  wba7e2c58hg739412",167782823,"california"," usa","21 hours left","June","Evening","california","CA","Dan","21 hours left","Group 1"
"414",413,"Kawula, Amy","02-22-2021 19:00:00",9210,"ford","door",2015,"clean vehicle",26911,"silver","  1ftew1cg4ffa66589",167660613,"georgia"," usa","2 days left","February","Evening","georgia","GA","Amy","48 hours left","Group 1"
"415",414,"Cousineau, Tom","10-19-2020 13:00:00",58500,"ford","srw",2019,"clean vehicle",21527,"blue","  1ft8w3bt3kee15023",167765561,"washington"," usa","21 hours left","October","Aftrenoon","washington","WA","Tom","21 hours left","Group 1"
"416",415,"Callahan, Mark","12-23-2019 21:50:00",125,"ford","door",2014,"salvage insurance",56461,"silver","  1fm5k8gt9ega74266",167362681,"michigan"," usa","2 days left","December","Evening","michigan","MI","Mark","48 hours left","Group 2"
"417",416,"Callahan, Mark","11-11-2020 10:30:00",3960,"honda","door",2015,"clean vehicle",95128,"white","  19xfb2f81fe252000",167703530,"virginia"," usa","2 days left","November","Morning","virginia","VA","Mark","48 hours left","Group 2"
"418",417,"Baranczyk, Kay","08-05-2019 20:20:00",5998,"hyundai","doors",2014,"clean vehicle",122975,"phantom black","  5npdh4ae0eh480157",167279690,"new york"," usa","5 days left","August","Evening","new york","NY","Kay","120 hours left","Group 3"
"419",418,"Pascoe, Paul","12-15-2020 11:40:00",3700,"honda","doors",2014,"clean vehicle",162824,"blue","  jhmze2h34es000337",167698717,"new york"," usa","2 days left","December","Morning","new york","NY","Paul","48 hours left","Group 4"
"420",419,"Socha, Melissa","08-27-2019 15:40:00",0,"kia","wagon",2008,"salvage insurance",148463,"silver","  knafg525787197602",167247592,"indiana"," usa","16 hours left","August","Aftrenoon","indiana","IN","Melissa","16 hours left","Group 3"
"421",420,"Kawula, Amy","04-17-2020 15:10:00",0,"audi","door",2005,"salvage insurance",181896,"black","  waudg74f05n113751",167419563,"california"," usa","19 hours left","April","Aftrenoon","california","CA","Amy","19 hours left","Group 4"
"422",421,"Cousineau, Tom","11-19-2020 19:20:00",0,"bmw","door",2000,"salvage insurance",216657,"gray","  wbaam3346yfp77118",167425906,"utah"," usa","2 days left","November","Evening","utah","UT","Tom","48 hours left","Group 5"
"423",422,"Kawula, Amy","05-06-2020 18:50:00",5000,"gmc","door",2012,"clean vehicle",140339,"black","  1gkkrpedxcj207971",167702669,"utah"," usa","19 hours left","May","Evening","utah","UT","Amy","19 hours left","Group 3"
"424",423,"Trimberger, Jason","07-14-2020 10:20:00",15050,"infiniti","mpv",2019,"clean vehicle",26786,"white","  jn8az2ne9k9229368",167256592,"texas"," usa","17 hours left","July","Morning","texas","TX","Jason","17 hours left","Group 1"
"425",424,"Baranczyk, Kay","10-01-2020 21:50:00",3960,"hyundai","doors",2019,"clean vehicle",35623,"red","  5npd84lf5kh403222",167697946,"ohio"," usa","2 days left","October","Evening","ohio","OH","Kay","48 hours left","Group 1"
"426",425,"Gutzman, Todd","06-18-2019 12:50:00",36300,"lincoln","nautilus",2019,"clean vehicle",14541,"black","  2lmpj6l91kbl31468",167151980,"california"," usa","1 days left","June","Aftrenoon","california","CA","Todd","24 hours left","Group 1"
"427",426,"Kananen, Jeff","12-31-2019 21:00:00",55600,"lexus","gx",2020,"clean vehicle",8186,"silver","  jtjam7bx4l5251250",167605747,"florida"," usa","2 days left","December","Evening","florida","FL","Jeff","48 hours left","Group 1"
"428",427,"Callahan, Mark","12-05-2019 19:20:00",2630,"nissan","doors",2018,"clean vehicle",36739,"gray","  3n1cn7ap5jl872135",167692446,"california"," usa","20 hours left","December","Evening","california","CA","Mark","20 hours left","Group 1"
"429",428,"Nitka, Clarence","09-16-2020 22:20:00",5690,"nissan","mpv",2017,"clean vehicle",42616,"blue","  5n1at2mv4hc773816",167668377,"new jersey"," usa","17 hours left","September","Night","new jersey","NJ","Clarence","17 hours left","Group 1"
"430",429,"McDonald, Tom","10-23-2019 20:50:00",19500,"audi","q5",2017,"clean vehicle",65833,"blue","  wa1l2afpxha049370",167339535,"texas"," usa","3 days left","October","Evening","texas","TX","Tom","72 hours left","Group 2"
"431",430,"Callahan, Mark","01-24-2020 16:20:00",450,"chevrolet","coupe",2008,"salvage insurance",123515,"yellow","  1g1al18f587145539",167650407,"minnesota"," usa","2 days left","January","Aftrenoon","minnesota","MN","Mark","48 hours left","Group 3"
"432",431,"Gustafson, Bob","08-11-2020 16:40:00",20400,"cadillac","door",2015,"clean vehicle",36122,"white","  3gyfnee39fs587810",167780469,"wisconsin"," usa","2 days left","August","Aftrenoon","wisconsin","WI","Bob","48 hours left","Group 1"
"433",432,"Nitka, Clarence","04-26-2020 22:00:00",4320,"chevrolet","door",2011,"clean vehicle",88359,"brown","  2cnfleec9b6313197",167660381,"florida"," usa","22 hours left","April",NA,"florida","FL","Clarence","22 hours left","Group 2"
"434",433,"Utech, Carol","02-05-2020 17:30:00",33001,"ford","f-150",2017,"clean vehicle",35905,"gray","  1ftfw1eg3hfc66707",167765248,"michigan"," usa","2 days left","February","Aftrenoon","michigan","MI","Carol","48 hours left","Group 1"
"435",434,"Jacobson, Jeff","12-28-2020 21:10:00",10000,"ford","door",2017,"salvage insurance",35747,"red","  1ftew1efxhkc69002",167357511,"arkansas"," usa","17 hours left","December","Evening","arkansas","AR","Jeff","17 hours left","Group 1"
"436",435,"VanDenHoven, Bob","07-21-2020 11:50:00",0,"ford","door",2004,"salvage insurance",167011,"red","  1fmfu18l84lb61201",167601555,"maryland"," usa","16 hours left","July","Morning","maryland","MD","Bob","16 hours left","Group 4"
"437",436,"Kawula, Amy","11-27-2020 10:20:00",5790,"gmc","door",2012,"clean vehicle",105020,"white","  1gtr2ve74cz121991",167702672,"utah"," usa","19 hours left","November","Morning","utah","UT","Amy","19 hours left","Group 3"
"438",437,"Ms BenDixen, Lonnie","02-26-2021 12:40:00",14750,"infiniti","mpv",2019,"clean vehicle",11047,"black","  jn8az2nexk9236071",167256600,"texas"," usa","17 hours left","February","Aftrenoon","texas","TX","Lonnie","17 hours left","Group 1"
"439",438,"Halla, Al","06-03-2021 10:20:00",4010,"hyundai","doors",2019,"clean vehicle",31233,"silver","  kmhd84lf4ku746279",167697947,"ohio"," usa","2 days left","June","Morning","ohio","OH","Al","48 hours left","Group 1"
"440",439,"Gutzman, Todd","06-20-2020 13:00:00",40000,"mercedes-benz","gle",2019,"clean vehicle",19427,"white","  4jgda5gb4kb204919",167152151,"california"," usa","1 days left","June","Aftrenoon","california","CA","Todd","24 hours left","Group 1"
"441",440,"Socha, Melissa","01-05-2020 15:20:00",13000,"kia","sportage",2017,"clean vehicle",71991,"silver","  kndpn3ac7h7113313",167606881,"new jersey"," usa","2 hours left","January","Aftrenoon","new jersey","NJ","Melissa","2 hours left","Group 2"
"442",441,"Nitka, Clarence","02-26-2021 22:50:00",3550,"nissan","doors",2018,"clean vehicle",29043,"blue","  3n1ab7ap2jy244200",167692447,"california"," usa","20 hours left","February","Night","california","CA","Clarence","20 hours left","Group 1"
"443",442,"Knipp, Rosalind","05-24-2019 09:30:00",3040,"nissan","doors",2017,"clean vehicle",36064,"gray","  3n1ab7ap5hy411143",167668543,"new jersey"," usa","17 hours left","May","Morning","new jersey","NJ","Rosalind","17 hours left","Group 1"
"444",443,"Knipp, Rosalind","10-04-2021 15:40:00",0,"chevrolet","coupe",2008,"salvage insurance",270080,"yellow","  1g1al18f187245041",167650422,"illinois"," usa","17 hours left","October","Aftrenoon","illinois","IL","Rosalind","17 hours left","Group 6"
"445",444,"Mr Reimer, Dick","04-13-2021 10:20:00",36400,"audi","5",2015,"clean vehicle",47213,"black","  wuac6bfr0fa901212",167780470,"wisconsin"," usa","2 days left","April","Morning","wisconsin","WI","Dick","48 hours left","Group 1"
"446",445,"Trimberger, Jason","09-05-2019 20:00:00",4480,"ford","door",2011,"clean vehicle",116480,"black","  2fmdk3gc0bbb23680",167660383,"florida"," usa","23 hours left","September","Evening","florida","FL","Jason","23 hours left","Group 3"
"447",446,"Raboin, Chase","11-25-2019 09:10:00",31003,"ford","door",2017,"clean vehicle",72084,"red","  1ftew1eg0hfb93193",167765253,"michigan"," usa","20 hours left","November","Morning","michigan","MI","Chase","20 hours left","Group 2"
"448",447,"Wheeler, Mike","08-20-2019 16:50:00",75,"ford","pickup",2001,"salvage insurance",295780,"gold","  1ftrw08l61kc05834",167357592,"arkansas"," usa","17 hours left","August","Aftrenoon","arkansas","AR","Mike","17 hours left","Group 6"
"449",448,"Gustafson, Bob","11-05-2020 15:40:00",8850,"gmc","door",2011,"clean vehicle",148035,"white","  1gt120c83bf236190",167702770,"utah"," usa","19 hours left","November","Aftrenoon","utah","UT","Bob","19 hours left","Group 3"
"450",449,"Mrs Karas, Phil","08-28-2020 20:00:00",14750,"infiniti","mpv",2019,"clean vehicle",11396,"white","  jn8az2nexk9236037",167256601,"texas"," usa","17 hours left","August","Evening","texas","TX","Phil","17 hours left","Group 1"
"451",450,"Wheeler, Mike","05-07-2019 16:30:00",4690,"hyundai","mpv",2019,"clean vehicle",33785,"silver","  km8k12aa0ku242609",167697948,"ohio"," usa","2 days left","May","Aftrenoon","ohio","OH","Mike","48 hours left","Group 1"
"452",451,"Raboin, Chase","02-13-2020 19:10:00",23000,"land","sport",2018,"clean vehicle",20103,"black","  salcp2rx6jh739311",167153784,"california"," usa","1 days left","February","Evening","california","CA","Chase","24 hours left","Group 1"
"453",452,"Jacobson, Jeff","02-15-2020 12:20:00",46900,"land","discovery",2018,"clean vehicle",32387,"black","  salrr2rk0ja052195",167606908,"florida"," usa","2 days left","February","Aftrenoon","florida","FL","Jeff","48 hours left","Group 1"
"454",453,"Mr Frank, Tim","06-29-2019 16:20:00",10740,"mercedes-benz","doors",2018,"clean vehicle",48140,"white","  wddwk4jb2jf613298",167692448,"california"," usa","20 hours left","June","Aftrenoon","california","CA","Tim","20 hours left","Group 1"
"455",454,"Cousineau, Tom","06-08-2020 09:40:00",3160,"nissan","doors",2017,"clean vehicle",34861,"gray","  3n1ab7ap0hy315498",167668544,"new jersey"," usa","17 hours left","June","Morning","new jersey","NJ","Tom","17 hours left","Group 1"
"456",455,"Hendricks, Dan","12-23-2020 12:10:00",0,"chevrolet","door",2006,"salvage insurance",268040,"silver","  1g1zt53f46f254868",167650486,"texas"," usa","17 hours left","December","Aftrenoon","texas","TX","Dan","17 hours left","Group 6"
"457",456,"Baranczyk, Kay","11-08-2020 10:00:00",3450,"chrysler","door",2011,"clean vehicle",114119,"gold","  1c3bc1fg1bn519076",167660385,"florida"," usa","22 hours left","November","Morning","florida","FL","Kay","22 hours left","Group 3"
"458",457,"Wheeler, Mike","08-11-2019 21:20:00",27102,"ford","f-150",2017,"clean vehicle",34165,"red","  1ftfw1eg1hfb78397",167765256,"michigan"," usa","2 days left","August","Evening","michigan","MI","Mike","48 hours left","Group 1"
"459",458,"Kawula, Amy","01-27-2021 20:30:00",500,"gmc","door",2018,"salvage insurance",27442,"black","  1gkknmls5jz177336",167357601,"arkansas"," usa","17 hours left","January","Evening","arkansas","AR","Amy","17 hours left","Group 1"
"460",459,"Mr Frank, Tim","06-08-2020 10:20:00",5100,"gmc","door",2011,"clean vehicle",144792,"white","  1gtr2uea3bz242502",167702772,"utah"," usa","19 hours left","June","Morning","utah","UT","Tim","19 hours left","Group 3"
"461",460,"Mayer, Lori","09-06-2020 20:20:00",15010,"infiniti","mpv",2019,"clean vehicle",11394,"beige","  jn8az2ne8k9236456",167256603,"texas"," usa","17 hours left","September","Evening","texas","TX","Lori","17 hours left","Group 1"
"462",461,"VanDenHoven, Bob","04-21-2021 20:30:00",5800,"jeep","mpv",2019,"clean vehicle",30546,"silver","  1c4pjldb3kd419559",167697949,"ohio"," usa","2 days left","April","Evening","ohio","OH","Bob","48 hours left","Group 1"
"463",462,"Mr Frank, Tim","01-12-2020 20:50:00",23200,"land","sport",2018,"clean vehicle",23745,"black","  salcp2rx0jh740860",167153788,"california"," usa","1 days left","January","Evening","california","CA","Tim","24 hours left","Group 1"
"464",463,"Pascoe, Paul","12-29-2020 14:50:00",8000,"hyundai","door",2015,"clean vehicle",88274,"red","  km8jucag9fu984199",167607388,"pennsylvania"," usa","7 days left","December","Aftrenoon","pennsylvania","PA","Paul","168 hours left","Group 2"
"465",464,"Mayer, Lori","03-10-2019 16:00:00",3390,"nissan","doors",2018,"clean vehicle",38349,"gray","  3n1ab7ap5jy293102",167692449,"california"," usa","20 hours left","March","Aftrenoon","california","CA","Lori","20 hours left","Group 1"
"466",465,"Gustafson, Bob","06-13-2020 23:00:00",3140,"nissan","doors",2017,"clean vehicle",30142,"white","  3n1ab7ap1hy310259",167668545,"new jersey"," usa","17 hours left","June","Night","new jersey","NJ","Bob","17 hours left","Group 1"
"467",466,"Rautmann, Orval","02-22-2020 11:40:00",25,"chevrolet","door",2007,"salvage insurance",267834,"black","  3gnfk12387g179905",167650490,"texas"," usa","17 hours left","February","Morning","texas","TX","Orval","17 hours left","Group 6"
"468",467,"Mahlik, Nick","03-26-2020 16:00:00",15000,"bmw","door",2014,"clean vehicle",44730,"silver","  wba3b5g54ens10419",167780701,"illinois"," usa","21 hours left","March","Aftrenoon","illinois","IL","Nick","21 hours left","Group 1"
"469",468,"Hendricks, Dan","02-17-2021 14:10:00",10440,"chevrolet","cab",2011,"clean vehicle",92476,"blue","  1gc1kyc87bf185906",167660387,"florida"," usa","23 hours left","February","Aftrenoon","florida","FL","Dan","23 hours left","Group 2"
"470",469,"Mayer, Lori","10-18-2019 12:20:00",23911,"ford","f-150",2017,"clean vehicle",25698,"black","  1ftew1cf3hfb78746",167765258,"michigan"," usa","20 hours left","October","Aftrenoon","michigan","MI","Lori","20 hours left","Group 1"
"471",470,"Mr Reimer, Dick","10-11-2019 16:50:00",25,"ford","pk",2010,"salvage insurance",155242,"gray","  1ftfx1ev7akc32939",167357792,"oklahoma"," usa","17 hours left","October","Aftrenoon","oklahoma","OK","Dick","17 hours left","Group 4"
"472",471,"Raboin, Chase","12-26-2020 16:10:00",21400,"gmc","acadia",2018,"clean vehicle",54332,"gray","  1gkknwls6jz133440",167602130,"new jersey"," usa","2 hours left","December","Aftrenoon","new jersey","NJ","Chase","2 hours left","Group 2"
"473",472,"Kostichka, Norb","09-10-2019 17:10:00",5380,"gmc","cab",2011,"clean vehicle",119215,"white","  1gt120cg5bf167316",167702775,"utah"," usa","19 hours left","September","Aftrenoon","utah","UT","Norb","19 hours left","Group 3"
"474",473,"Jacobson, Jeff","10-24-2019 16:20:00",11000,"jeep","mpv",2019,"clean vehicle",8930,"red","  1c4hjxeg0kw596497",167256941,"michigan"," usa","2 days left","October","Aftrenoon","michigan","MI","Jeff","48 hours left","Group 1"
"475",474,"Mahlik, Nick","08-10-2019 18:30:00",4950,"jeep","mpv",2019,"clean vehicle",46985,"silver","  1c4pjllb6kd184477",167697950,"ohio"," usa","2 days left","August","Evening","ohio","OH","Nick","48 hours left","Group 1"
"476",475,"Holewinski, Gene","07-28-2019 16:00:00",22500,"land","sport",2018,"clean vehicle",30220,"black","  salcp2rx7jh741147",167153791,"california"," usa","2 days left","July","Aftrenoon","california","CA","Gene","48 hours left","Group 1"
"477",476,"Cousineau, Tom","01-11-2020 18:40:00",30300,"maserati","ghibli",2017,"clean vehicle",37021,"black","  zam57xslxh1248775",167607797,"florida"," usa","2 days left","January","Evening","florida","FL","Tom","48 hours left","Group 1"
"478",477,"Utech, Carol","05-22-2019 13:50:00",2630,"nissan","doors",2018,"clean vehicle",43152,"white","  3n1cn7ap5jl882275",167692452,"california"," usa","20 hours left","May","Aftrenoon","california","CA","Carol","20 hours left","Group 1"
"479",478,"Gutzman, Todd","04-24-2020 09:40:00",3140,"nissan","doors",2017,"clean vehicle",34318,"silver","  3n1ab7ap1hl639346",167668546,"new jersey"," usa","17 hours left","April","Morning","new jersey","NJ","Todd","17 hours left","Group 1"
"480",479,"Gustafson, Bob","11-12-2019 13:50:00",2300,"chevrolet","door",2011,"salvage insurance",88287,"white","  1gnskbe03br198151",167650581,"arkansas"," usa","17 hours left","November","Aftrenoon","arkansas","AR","Bob","17 hours left","Group 2"
"481",480,"Halla, Al","05-09-2019 17:30:00",4310,"chevrolet","door",2011,"clean vehicle",105486,"black","  2cnaldec6b6382868",167660398,"florida"," usa","22 hours left","May","Aftrenoon","florida","FL","Al","22 hours left","Group 3"
"482",481,"Froelich, Francis","12-08-2020 09:20:00",26012,"ford","door",2017,"clean vehicle",19850,"black","  1ftew1ef2hfb83224",167765260,"michigan"," usa","20 hours left","December","Morning","michigan","MI","Francis","20 hours left","Group 1"
"483",482,"Halla, Al","03-21-2021 10:40:00",75,"ford","door",2014,"salvage insurance",116535,"silver","  1fadp3k26el249167",167357800,"oklahoma"," usa","17 hours left","March","Morning","oklahoma","OK","Al","17 hours left","Group 3"
"484",483,"Mahlik, Nick","09-10-2020 19:50:00",48500,"gmc","1500",2019,"clean vehicle",15777,"black","  1gtu9fel6kz311976",167603375,"pennsylvania"," usa","1 days left","September","Evening","pennsylvania","PA","Nick","24 hours left","Group 1"
"485",484,"Cousineau, Tom","05-15-2019 10:40:00",3330,"gmc","mpv",2009,"clean vehicle",87448,"white","  1gtgg25k391106224",167702843,"utah"," usa","19 hours left","May","Morning","utah","UT","Tom","19 hours left","Group 2"
"486",485,"Badura, Shannon","02-11-2020 14:20:00",11200,"jeep","mpv",2019,"clean vehicle",8395,"yellow","  1c4hjxeg7kw589272",167256942,"michigan"," usa","2 days left","February","Aftrenoon","michigan","MI","Shannon","48 hours left","Group 1"
"487",486,"Ms Schoen, Lisa","09-26-2019 17:20:00",4730,"hyundai","mpv",2019,"clean vehicle",30121,"red","  km8j23a45ku893842",167697951,"ohio"," usa","2 days left","September","Aftrenoon","ohio","OH","Lisa","48 hours left","Group 1"
"488",487,"McDonald, Tom","09-26-2020 11:40:00",24900,"mercedes-benz","glc",2018,"clean vehicle",33687,"white","  wdc0g4jb4jv097463",167153811,"california"," usa","1 days left","September","Morning","california","CA","Tom","24 hours left","Group 1"
"489",488,"Mrs Karas, Phil","09-06-2020 22:00:00",29400,"mercedes-benz","e-class",2017,"clean vehicle",37561,"blue","  wddzf4jb6ha277485",167607863,"florida"," usa","2 days left","September",NA,"florida","FL","Phil","48 hours left","Group 1"
"490",489,"McDonald, Tom","08-19-2019 15:40:00",8350,"nissan","cab",2018,"clean vehicle",32256,"gray","  1n6aa1ej3jn519666",167692453,"california"," usa","20 hours left","August","Aftrenoon","california","CA","Tom","20 hours left","Group 1"
"491",490,"Ms Schoen, Lisa","06-05-2020 19:10:00",475,"peterbilt","truck",2012,"salvage insurance",902041,"gold","  1xp4d49x9cd123630",167529786,"florida"," usa","17 hours left","June","Evening","florida","FL","Lisa","17 hours left","Group 18"
"492",491,"Jacobson, Jeff","09-25-2019 12:00:00",3210,"nissan","doors",2017,"clean vehicle",25255,"black","  3n1ab7apxhy302645",167668547,"new jersey"," usa","17 hours left","September",NA,"new jersey","NJ","Jeff","17 hours left","Group 1"
"493",492,"Mr Trupke, Tim","10-01-2021 14:10:00",25,"chevrolet","van",2006,"salvage insurance",165327,"white","  1gndu23l46d143789",167650597,"arkansas"," usa","17 hours left","October","Aftrenoon","arkansas","AR","Tim","17 hours left","Group 4"
"494",493,"Trimberger, Jason","09-29-2020 20:30:00",4200,"chevrolet","cutaway",2006,"clean vehicle",118009,"white","  1gbhg31u661113654",167781216,"wisconsin"," usa","21 hours left","September","Evening","wisconsin","WI","Jason","21 hours left","Group 3"
"495",494,"Gustafson, Bob","11-26-2020 17:00:00",8430,"chevrolet","utility",2011,"clean vehicle",114547,"black","  3gntkge3xbg398052",167660399,"florida"," usa","22 hours left","November","Aftrenoon","florida","FL","Bob","22 hours left","Group 3"
"496",495,"Baranczyk, Kay","02-10-2019 09:30:00",25503,"ford","f-150",2017,"clean vehicle",18647,"black","  1ftmf1ef2hfb83980",167765261,"michigan"," usa","9 minutes","February","Morning","michigan","MI","Kay","0 hours left","Group 1"
"497",496,"Callahan, Mark","10-05-2020 10:10:00",0,"ford","pickup",1996,"salvage insurance",252588,"red","  1ftef15n0tlc14455",167357804,"oklahoma"," usa","17 hours left","October","Morning","oklahoma","OK","Mark","17 hours left","Group 5"
"498",497,"Utech, Carol","01-06-2020 22:00:00",26000,"gmc","limited",2019,"clean vehicle",16669,"black","  2gtv2mecxk1173011",167603430,"pennsylvania"," usa","1 days left","January",NA,"pennsylvania","PA","Carol","24 hours left","Group 1"
"499",498,"Wheeler, Mike","11-18-2019 14:00:00",3900,"honda","doors",2017,"clean vehicle",47970,"blue","  2hgfc2f52hh522914",167702907,"virginia"," usa","2 days left","November","Aftrenoon","virginia","VA","Mike","48 hours left","Group 1"
"500",499,"Gutzman, Todd","08-09-2020 10:20:00",11200,"jeep","mpv",2019,"clean vehicle",12905,"gray","  1c4hjxeg7kw590115",167256952,"michigan"," usa","2 days left","August","Morning","michigan","MI","Todd","48 hours left","Group 1"
